FID,ID,Station_Na,Province,Latitude,Longitude,Elevation,Latitude__,Longitude_,UTM_Grid_Z,Climate_ID,WMO_Compli,WMO_ID,TC_ID
0,45,ATIKOKAN,Ontario,"48°45'00.000"" N","91°37'00.000"" W",395.3,48.75,-91.616667,15,6020379, ,0, 
1,166,CAMERON FALLS,Ontario,"49°09'00.000"" N","88°21'00.000"" W",228.6,49.15,-88.35,16,6041109,Yes,0, 
2,211,CHAPLEAU A,Ontario,"47°49'12.000"" N","83°20'48.000"" W",448.1,47.82,-83.346667,17,6061361, ,71642,YLD
3,250,COCHRANE,Ontario,"49°04'00.000"" N","81°02'00.000"" W",274.9,49.066667,-81.033333,17,6071712, ,0, 
4,298,CRYSTAL FALLS,Ontario,"46°27'00.000"" N","79°52'00.000"" W",227.1,46.45,-79.866667,17,6081928, ,0, 
5,342,DRYDEN,Ontario,"49°47'00.000"" N","92°50'00.000"" W",371.9,49.783333,-92.833333,15,6032117, ,0, 
6,343,DRYDEN A,Ontario,"49°50'00.000"" N","92°45'00.000"" W",412.7,49.833333,-92.75,15,6032119,Yes,0,YHD
7,355,EAR FALLS,Ontario,"50°38'00.000"" N","93°13'00.000"" W",360.9,50.633333,-93.216667,15,6012198, ,0, 
8,356,EARLTON A,Ontario,"47°42'00.000"" N","79°51'00.000"" W",243.2,47.7,-79.85,17,6072225,Yes,0,YXR
9,377,EMO RADBOURNE,Ontario,"48°41'00.000"" N","93°50'00.000"" W",350,48.683333,-93.833333,15,0, ,0, 
10,379,ENGLEHART,Ontario,"47°49'00.000"" N","79°54'00.000"" W",251.5,47.816667,-79.9,17,6072325, ,0, 
11,409,FLINT,Ontario,"48°21'00.000"" N","89°41'00.000"" W",274,48.35,-89.683333,16,0, ,0, 
12,421,FORT FRANCES,Ontario,"48°37'00.000"" N","93°25'00.000"" W",343.2,48.616667,-93.416667,15,6022475, ,0, 
13,422,FORT FRANCES A,Ontario,"48°39'00.000"" N","93°26'00.000"" W",342,48.65,-93.433333,15,6022476, ,0, 
14,442,FRENCH R CHAUDIERE DAM,Ontario,"46°08'00.000"" N","80°01'00.000"" W",198.1,46.133333,-80.016667,17,6082612, ,0, 
15,454,GERALDTON A,Ontario,"49°46'58.090"" N","86°55'50.050"" W",348.4,49.782803,-86.930569,16,6042716, ,71834,YGQ
16,559,HORNEPAYNE,Ontario,"49°14'00.000"" N","84°48'00.000"" W",329.2,49.233333,-84.8,16,6053570, ,0, 
17,580,IROQUOIS FALLS,Ontario,"48°45'00.000"" N","80°40'00.000"" W",259.1,48.75,-80.666667,17,6073810, ,0, 
18,582,ISLAND FALLS,Ontario,"49°35'00.000"" N","81°23'00.000"" W",213,49.583333,-81.383333,17,6073840,Yes,0, 
19,600,KAPUSKASING A,Ontario,"49°24'50.000"" N","82°28'03.000"" W",226.5,49.413889,-82.4675,17,6073975,Yes,71831,YYU
20,601,KAPUSKASING CDA,Ontario,"49°24'00.000"" N","82°26'00.000"" W",217.9,49.4,-82.433333,17,6073960,Yes,0, 
21,615,KENORA A,Ontario,"49°47'25.005"" N","94°21'55.003"" W",409.7,49.790279,-94.365279,15,6034075,Yes,71850,YQK
22,631,KIRKLAND LAKE,Ontario,"48°09'00.000"" N","80°00'00.000"" W",324,48.15,-80,17,6074209, ,0, 
23,745,MANITOUWADGE,Ontario,"49°09'00.000"" N","85°48'00.000"" W",332.2,49.15,-85.8,16,6044903, ,0, 
24,761,MATTICE TCPL,Ontario,"49°36'00.000"" N","83°10'00.000"" W",233.2,49.6,-83.166667,17,6075024, ,0, 
25,792,MINE CENTRE,Ontario,"48°46'00.000"" N","92°37'00.000"" W",342.9,48.766667,-92.616667,15,6025203,Yes,0, 
26,798,MISSISSAGI ONT HYDRO,Ontario,"46°26'00.000"" N","83°23'00.000"" W",225.6,46.433333,-83.383333,17,6055210, ,0, 
27,803,MONETVILLE,Ontario,"46°08'33.006"" N","80°18'25.044"" W",221,46.142502,-80.306957,17,6065250, ,0, 
28,956,PICKLE LAKE (AUT),Ontario,"51°26'57.001"" N","90°13'04.007"" W",390.8,51.449167,-90.21778,15,6016525, ,71835,WPL
29,983,PORCUPINE ONT HYDRO,Ontario,"48°28'00.000"" N","81°16'00.000"" W",298.7,48.466667,-81.266667,17,6076572,Yes,0, 
30,1041,RAWSON LAKE,Ontario,"49°39'00.000"" N","93°43'00.000"" W",358.1,49.65,-93.716667,15,6036904,Yes,0, 
31,1045,RED LAKE A,Ontario,"51°04'01.000"" N","93°47'35.000"" W",385.9,51.066944,-93.793056,15,6016975,Yes,71854,YRL
32,1106,SAULT STE MARIE 2,Ontario,"46°32'00.000"" N","84°20'00.000"" W",211.8,46.533333,-84.333333,16,6057590, ,0, 
33,1107,SAULT STE MARIE A,Ontario,"46°29'00.000"" N","84°30'34.000"" W",192,46.483333,-84.509444,16,6057592,Yes,71260,YAM
34,1144,SIOUX LOOKOUT A,Ontario,"50°07'00.000"" N","91°54'00.000"" W",383.1,50.116667,-91.9,15,6037775,Yes,71842,YXL
35,1146,SLEEMAN,Ontario,"48°43'00.000"" N","94°25'00.000"" W",335.3,48.716667,-94.416667,15,6027825, ,0, 
36,1149,SMOKY FALLS,Ontario,"50°04'00.000"" N","82°10'00.000"" W",182.9,50.066667,-82.166667,17,6077845, ,0, 
37,1284,STRATTON ROMYN,Ontario,"48°42'00.000"" N","94°10'00.000"" W",366.1,48.7,-94.166667,15,6028128, ,0, 
38,1286,SUDBURY A,Ontario,"46°37'32.000"" N","80°47'52.000"" W",348.4,46.625556,-80.797778,17,6068150,Yes,71730,YSB
39,1315,TERRACE BAY,Ontario,"48°48'00.000"" N","87°06'00.000"" W",289,48.8,-87.1,16,6048230, ,0, 
40,1324,THUNDER BAY A,Ontario,"48°22'10.000"" N","89°19'38.038"" W",199,48.369444,-89.327233,16,6048261, ,0,YQT
41,1325,THUNDER BAY WPCP,Ontario,"48°24'00.000"" N","89°14'00.000"" W",184.4,48.4,-89.233333,16,0, ,0, 
42,1328,TIMMINS VICTOR POWER A,Ontario,"48°34'11.000"" N","81°22'36.000"" W",294.7,48.569722,-81.376667,17,6078285,Yes,71739,YTS
43,1356,TURBINE,Ontario,"46°23'00.000"" N","81°34'00.000"" W",205.7,46.383333,-81.566667,17,6068980, ,0, 
44,1422,WAWA A,Ontario,"47°58'00.000"" N","84°47'00.000"" W",287.1,47.966667,-84.783333,16,0, ,71738,YXZ
45,1440,WHITEFISH LAKE,Ontario,"48°17'00.000"" N","89°55'00.000"" W",399,48.283333,-89.916667,16,6049466, ,0, 
